x		J0(x)		J1(x)

0.0	1.0000000028 	0.0000000000
1.0	0.7651976838    0.4400505857
2.0	0.22389078    0.5767248079
3.0     -0.2600519577    0.3390589583
4.0     -0.3971498072   -0.066043328
5.0     -0.17759677   -0.3275791386
6.0     0.1506452595   -0.2766838592
7.0     0.3000792736   -0.0046828257
8.0     0.17165081    0.2346363466
9.0     -0.090333611    0.2453117866
10.0    -0.2459357644    0.0434727463
